GRUP,OBJECTE,ÍTEM 1,ÍTEM 2,ÍTEM 3,ÍTEM 4,NOMBRE RESPOSTES,COMENTARI
ASIX2,MP08 - Serveis de xarxa i internet,"5,40","4,33","6,73","5,87",15,"Algunas cosas sobre los ejercicios diría que es mejorable, algunos ejercicios son demasiado largos y complejos y otros de repente siendo la siguiente a esa  son faciles y diría que también se debería mejorar algo los enunciados ya que a veces da a entender otra cosa.
Más que un profesor, en ocasiones parecía un Teniente del ejercito, demasiado estricto con tonterías la verdad.
En general esta bien pero no me gusta la forma que tiene de hacer las practicas
Ejercicios interesantes y con un tiempo considerable para realizarlas y aprender. Pero no de acuerdo con la manera de evaluar.
Todo bien, pero la manera de evaluar no me parece demasiado correcta, ya que de 10 practicas que hacemos por ejemplo, mira 3 aleatoriamente y saca la nota.
Demasiado estricto, muy pesado con tonterias de crios cuando ya tenemos mas de 20 años. No es la ESO.
Haaarasho 
Nos matamos ha hacer prácticas para que luego solo nos avalue de tres en toda la UF. Tampoco nos enseña las notas que sacamos. Nos pone las notas sin saber que hemos sacado realmente. Tampoco nos ayuda mucho cuando tenemos alguna duda, nos hace buscarnos la vida.
Nos trata cómo críos y cuando le preguntas a veces ni te ayuda. Te dice que te espabiles  A veces va bien dejarnos solos pero otras a de ejercer de profesor que para algo le pagan. No tiene ni idea de evaluar. De todas las prácticas sólo coge 3, entonces para que están las otras?
Lo que es la asignatura bien, distintos servidores y como crearlos. Pero para hacerlo he tenido que consultar a Google cada día. Las clases teóricas eran aburridas y bueno, las dudas al crear servidores muy pocas veces las solucionaba el profesor, muy estricto él por cierto.
Hace publicidad subliminal de su pagina web (www.pauperis.com), su manera de evaluar la veo absurda, coge 3 practicas de toda la UF y las evalúa, las demás ni se las mira, no tiene sentido, nos trata como críos y si viene enfadado, suerte ese día en clase que no se puede ni toser"
ASIX2,MP09 -  Implantació d'aplicacions web,"6,93","6,71","8,07","7,14",14,"Hay cosas mejorables aunque de esta materia mucho no aprendí ya que ya lo sabía por haber pasado por DAM primero por lo que lo tuve más fácil supongo y una mejora que debería ser 100% es meterle más horas y que el profesor no se entretuviese tanto (que encima tiene pocas horas).
Mejora favorablemente, pero sigue sin validar.
Practicas interesantes pero no son lo suficientemente explicadas para realizarlas sin problemas.
Si valida el HTML todo va bien.
Tot i que el professor fa tot el que pot per a ajudar a l'alumne, moltes vegades l'alumne es obligat a sortir endavant fent activitats de bastant nivell, les quals, no té suficients coneixements per a completar.
Ha mejorado bastante respecto al año pasado. 
(BY: JISUS) Nunca llega a la hora, pierde muchisimo tiempo (1 de las 2 horas que tenemos por semana) casi todas las semanas con tonterias, las clases de teoria son bastante horribles pero podrian ser peores, ha mejorado desde el año pasado pero sin pasarnos, pone fechas justas
Ha mejorado un poco comparado con las clases que dabas en 2DAM :) pero los examenes muy aploja este año, Los examen tienes que poner para que almenos podamos sacar un 5 , pero tu vas con la idea de suspender poniendo examenes super chungos :( 
Nos va dejando trabajar, pero suele llegar tarde.
Dani es mi ídolo. Cambio radical en comparación con el año pasado, este año un grande. La verdad que ha sido flexible con algunas prácticas y sus entregas y siempre trae su google docs bien chulo con el gif al final. Dani tt, te quiero.
Se despista un poco, pero ayuda con todo lo que puede y es muy buen profe, aparte sabe conectar con el alumno y hace que sus clases sean mas divertidas y no de esas clases que preferías no ir nunca a clase."
ASIX2,MP10 - Administració de sistemes gestors de bases de dades,"6,93","7,21","7,93","6,57",14,"El principio fue bueno, estábamos asimilando conceptos de manera correcta hasta que el profesor tuvo que centrarse en otras cosas. A partir de ahí todo ha sido caótico y a base de muchas hostias e internet. Me he sentido desatendido y las respuestas dejaban que desear.
Dijo que no había exámenes, que sólo se harían prácticas. Puso está clausula pero a cambio teníamos que sacar mínimo un 6 en las prácticas. Pues de repente no dio su palabra e hicimos exámenes. Si hace eso lo correcto es poner mínimo un 5 para aprobar, pues no mantuvo lo del 6.
Eso de que cambiase la manera de hacer los examenes (al principio las hacia como si fuera una actividad normal, con tiempo de una semana) sinceramente me pareció una excusa pero bueno, lo dejaría como practica. Y mejoraría que hubiese más teoría en clase.
Ninguna queja.
Los primeros nucleos formativos no han sido muy agradables por la dificultad que conllevaban y no se tenía el suficiente tiempo para realizarlas en clase. Evaluación correcta.
Dijo que no pondria examenes y los puso
La única queja que tengo es para el centro, por favor, separar las 3h en dos días diferentes y no pongais la asignatura seguida que luego se hace bastante pesado.
Todo iba bien hasta que metiste los examenes teoricos que se suponia que no ibamos a hacer porque ya haciamos practicas para aprender los conceptos teoricos :( 
Al principio de curso acordamos con el, hacer trabajos mas difíciles y no hacer exámenes, luego opto por dejar los trabajos muy difíciles y tenernos que tirar todo el fin de semana haciéndolos pensando que solo tenemos su asignatura, luego le pides ayuda y no te ayuda."
ASIX2,MP11 - Seguretat i alta disponibilitat,"9,31","9,46","9,15","9,62",13,"Ninguna queja.
Oscar me parece un profesor excepcional, se preocupa por el estudiante y ayuda en todo momento en lo que necesites, se esfuerza por enseñar y se nota que le gusta ver a la gente aprender.
Oscar es uno de los mejores profesores que nos ha tocado, diría que necesitaría más tiempo ya que sus materías contra más profundices mejores son. Profe 10/10. Y Sistemas es la mejor asignatura (MP06)
Correcto en general, explicaciones muy buenas por parte del profesor.
Es una maravilla de profesor y persona. Es atento y te ayuda en todo lo que puede (incluso otras asignaturas). Lo único que las practicas yo las haría más resumidas. Y las clases teóricas más animadas.
Muchisima paciencia conmigo (Brian) aun llamandole hasta 30 veces en una sola hora, ademas de que el 100% de el material que utilizamos lo crea el para facilitarnos el aprendizaje. Extremadamente puntual y te ayuda incluso fuera del horario. 10/10 El y Gerard son los mejores.
Las clases haria como en grado medio, que hacias demos de las practicas y  para nosotros hacer las era facil porque ya sabiamos mas o menos el camino. Si lo hacemos por nuestras cuentas encuentro muchos errores y llamarte muchas veces en clases para que ayudes no esta bien :)
La asignatura es muy divertida, Oscar como siempre muy bien."
ASIX2,MP14 - Projecte d'administració de sistemes informàtics en xarxa,"8,14","7,14","7,57","7,86",7,"Creo que se debría empezar algo más tarde para tener más claro lo que se quiere hacer ya que tan pronto no has visto todo lo que tiene ASIX y el potencíal que le puedes sacar a todo. PD: Vivan los robots.
A día de hoy no puedo dar una puntuación clara ya que apenas hemos comenzado."
ASIX2,Tutoria 2n curs,"3,62","4,00","3,88","3,75",8,"Nuestro tutor un fiera.
(JISUS) La excusa de Dani para perder el tiempo, le encanta, pero eso si, cuando hacen falta clases de tutoria de verdad para informarnos de cosas nunca lo hace
Creo que ha sido horrenda, nos ocupaba 1h de las 2h unicas de otra matería además de ser innecesaría que encima el tutor (Daniel M.) hubieron un par de excursiones y no se nos fueron anunciadas. 
No hacemos tutoria en clase.
¿En serio, esto es una asignatura?
Ha existido la tutoría? no la puedo evaluar si no ha existido."
DAM1,MP01 - Sistemes informàtics,"4,19","4,19","5,00","4,50",16,"Mala organización, no hay correcciones a tiempo , comentarios del profesor a destiempo, los examenes son difíciles de hacer ya que no sabemos si nuestras prácticas están bien o no... Lo dicho antes no hay correcciones de prácticas 
Massa retard en la corretgio de practiques o examens
A la hora de hacer el examen no sabemos el resultado de las prácticas hechas por lo cual no sabemos si lo que hemos hecho está bien.
Ja hem tingut problemes amb ell i ja els hem parlat amb ell, jo crec que la seva forma de explicar pot ser millorable
Mai corregeix les practiques abans d’un examen, Moltes vegades arriba tard, fa comentaris fora de lloc, els examens son massa extensos, tant de materia per estudiar com d’exercicis per fer, a més a més deixa molt poc temps per fer-los.
La manera de evaluar, explicar, es necesario que las actividades estén corregidas antes del examen para poder estudiar y tener claro los errores que debemos mejorar
1. Mala forma de estructurar una clase(faltan caracteres x explicar). 2. Incompetente(no es capaz de responder una pregunta, es decir, da vueltas sobre la pregunta y te invita a buscar por internet) 3. No informa de las notas(llevamos todo el curso sin ver una practica puntuada)
-Els conceptes de la matèria no queden clars. -Els materials per estudiar son confusos. -No s'avaluen algunes practiques. -Els exàmens tenen un nivell de dificultat més alt que la matèria impartida. -El professor dona per sapiguts conceptes d'anys enrere que gairebé ningú domina 
El hecho de la no corrección de prácticas útiles para examenes, la gran cantidad de contenido en examenes y prácticas (un examen demasiado largo imposible de finalizar en 2 horas, comprobado por todos, o contenido de otras UF anteriores) y la poca explicación en algunos casos.
Ens falta una mica mes d'organització, i que els examen no siguin tan sorpresa i que tingui mes relació amb la matèria apresa.."
DAM1,MP02 - Bases de dades,"9,40","9,40","8,40","9,67",15,"He aprés molt a aquesta matèria, els apunts son bons, i les classes productives i entenedores."
DAM1,MP03 - Programació,"8,29","8,41","9,00","8,35",17,"Tot i que no seguim uns apunts. Realitzem activitats, petits programes de diferents dificultats molt útils per l'aprenentatge de programació. A més Gerard, sempre busca la manera de motivar-nos i gaudeix ensenyant-nos tot el que sap.
Jo crec que la seva feina la fa per solament restar-hi dies per a la seva jubilació i es centra amb personas concretes."
DAM1,MP04 - Llenguatges de marques i sistemes de gestió d'informació,"9,86","9,86","9,00","9,86",14,"Molt atent , constesta email qualsevol dia a qualsevol hora
Molt bons apunts i recursos seleccionats i creats per part de Frenando. Les seves correccions son ràpides i concises. Explica molt bé a classe i sempre està disponible per fer-li consultes. es troben a faltar els vídeos de l'inici de curs, son uns bons recursos per l'aprenentatge"
DAM1,MP11 - Formació i orientació laboral,"9,60","9,60","9,60","9,00",5,"Assignatura que no vull cursar. Hem vaig matricular a DAM, trovo execiu fer 5 hores de FOL i EIE. 
Les seves classes son bones i explica molt bé la matèria. La seva forma d'avaluar es correcta. Proposo utilitzar el Moodle per anys següents."
DAM1,MP12 - Empresa i iniciativa emprenedora,"9,20","9,60","8,60","9,00",5,"Hem vaig matricular a DAM , això de fer 5 hores de FOL i EIE o trovo execiu.
Utilitzar el Moodle seria útil per recollir tots els materials."
DAM1,Tutoria 1r curs,"4,31","4,44","2,88",,16,"El tutor no informa nada tampoco nos entrega el boletín oficial de notas sino que solo nos llama para ver el acta y en mi caso ni me pregunto si quería ver mis notas,siempre nos informan otros profesores antes que el tutor 
La manera de decir las cosas del tutor creo que pueden mejorar, la información a veces no es la correcta, es necesario que se organice mejor para que todos podamos ser bien informados
1. NO TENEMOS TUTORIA! 2. nos hemos enterado de eventos,salidas etc por otra profesora(sandra de BBDD) 3.NO TENEMOS BOLLETIN DE NOTAS. 4.FALTA DE COMUNICACION Y PROFESIONALIDAD
El professor no ens informa, gairebé sempre ens informen altres professors i no el nostre tutor. No es pot parlar amb ell sobre temes delicats perque se’ls pren com una ofensa cap a la seva persona
No solemos dedicar tiempo a tutoria, planteamos nuestros problemas con el tutor y aún así siguen sin estar solucionados, al final quien nos acaba informando de excursiones, etc. Son otros profesores a menos que el tutor recuerde algo o se lo preguntemos nosotros.
Gairebé no hem rep tutoria per part del tutor. Sandra o Fernando ens han avisat més de les activitats. Penso que Joaquim s'esforça de vegades, però no aconsegueix resultats.
No hi te la culpa al professor de ser al nostre tutor de tutoria però, no te formalitat a dir-ne les hores i llocs a l'hora de les sortides."
DAM2A,MP03 - Programació,"7,55","8,09","8,45","7,64",11,
DAM2A,MP05 - Entorns de desenvolupament,"9,27","9,00","8,82","9,45",11,
DAM2A,MP06 - Accés a dades,"7,09","8,09","7,18","6,91",11,cuando le preguntas algo no te puede ayudar ni responder
DAM2A,MP07 - Desenvolupament d'interfícies,"6,00","5,45","7,55","7,00",11,"IONIC SUCKS
Siempre llega tarde, y se organiza muy mal la asignatura, dejando practicamente todo para casa y no realizando casi nada en clase."
DAM2A,MP08 - Programació multimèdia i dispositius mòbils,"8,45","8,64","9,00","8,82",11,
DAM2A,MP09 -  Programació de serveis i processos,"6,73","6,82","7,45","6,73",11,
DAM2A,MP10 - Sistemes de gestió empresarial,"9,25","9,12","7,75","9,00",8,
DAM2A,MP13 - Projecte de desenvolupament d'aplicacions multiplataforma,"5,29","5,57","5,71","5,14",7,
DAM2A,Tutoria 2n curs,"7,33","7,67","8,17","7,17",6,
DAM2B,MP02 - Bases de dades,"10,00","10,00","10,00","10,00",1,
DAM2B,MP03 - Programació,"7,46","8,38","8,54","7,23",13,"Gran profesor, cualquier duda te la resuelve, es flexible con los trabajos, pone una carga considerada, una libertad para elegir el tema que quieres desarrollar y herramientas que te ayudan a conseguirlo. 
content amb el professor
Las clases teóricas son muy lentas y densas, deberían ser mas ágiles e ir más directo a ver las cosas prácticas
Cambiaría una mica la dinàmica de les classes a l'hora d'impartir la teoria. 
Las practicas que hacemos son muy utiles, mucha variedad y constructivas, se nota que es un profesor que le gusta lo que hace y lo contagia.
Actualizar los apuntes del IOC o hacer un vídeo explicativo de las partes difíciles para poder repasar en casa
Se utiliza mucha teoría sin practica, es decir, se explica mucho pero sin hacer una parte practica de como se va utilizando lo que va explicando. A la hora de entenderlo cuesta mucho mas, que si mientras se explica se va haciendo una demostración.
Unos pequeños resúmenes de cada apartado de los apuntes del IOC estaría muy bien.
A final de curso, dar una pequeña formación, sobre las tecnologías más punteras, hacia donde esté orientado el mundo laboral actual y futuro.
Positivo. - La escala de dificultad y las dimensiones de las tareas que se realizan en clase.  Negativo. - Los Apuntes de la IOC pueden llegar ser demasiado espesos para trabajar en clase. Aumentar la cantidad de esquemas, ppt, resúmenes para las clases. Gracias.
Tanto el temario como el profesor son buenos, pero quiza la metodologia que usa se hace muy pesada de darnos la teoria de golpe y luego toda la practica es demasiado autodidacta, un poco mas de ayuda estaria bien, pero buen profesor!
Uno de los mejores profesores del Puig. Se interesa por el alumno y te ayuda en todo lo que puede. Un crack."
DAM2B,MP05 - Entorns de desenvolupament,"9,85","9,46","9,92","9,77",13,"Muy interesante el tema de los vídeos de la primera UF genial para estudiar y comprender-lo bien ya que los puedes visualizar cuando quieras y el reforzar lo explicado con el kahoot en clase para comentar dudas de lujo.
gran profesional, se nota que le gusta enseñar
Molt content en general amb el que s'imparteix a classe. Professor molt atent, que ajuda sempre i explica les vegades qeu faci falta, un 10 en tot!
Tot Perfecte, gran professor, temari dificil.
no son dieces porque no creo que haya sido perfecto, no puedo recomendar que mejoraría porque tampoco es una cosa clara. Lo que si es claro que si sigue con las mismas ganas de enseñar, con su propio a fan de mejorar en 5 años seria todo 10. Espero que no se frustre.
El profesor siempre nos da apoyo en todo lo que neesitemos aunque las practicas son más bien libres, ademas siempre nos prepara mucho material para ayudarnos. 
La metodología que se utiliza en sus clases facilita mucho el aprendizaje.
Gran profesor, clases amenas y entendibles. Carga de trabajo aceptable. Empezó con los vídeos de teoría para no tener que darla en clase, eso si, alguna vez paso que el vídeo se ponía tarde por así decirlo que ya si teniamos practicas no daba tiempo, a parte de eso perfecto todo.
Solo lamento no poder haber tenido más vídeos, esta genial la idea. Lo que si se debería mejorar es el tema del tiempo en los exámenes. 
Ninguna queja sobre el profesor de M05, los vídeos que ha realizado durante el curso explicando teoría, el kahoot, los ejercicios diarios.. todo en conjunto hace que aprendas bien y lo pongas en práctica.  La única pega sería que algunos exámenes, se me hacen cortos con 50 min. 
- Eres demasiado bueno con tus alumnos. ⇧ - Videos  ⇧ - Kahoot ⇧ - Practicas Pre examen / Examenes  ⇧  - Pocas horas de clase  ⇩"
DAM2B,MP06 - Accés a dades,"2,50","5,07","5,14","2,71",14,"La teoría colgada en el moodle cuesta un poco de visualizar si no se abre en otra ventana, es lo único a destacar.
La manera de dar clase no es la correcta ya que no explica casi nada del temario  dado en clase
L´asignatura es basa en seguir uns exercicis pre-establerts, sense cap ajut teoric del professor, es bó per l´autoaprennetatge pero molt frustrant.
El profesor que imparte la materia le cuesta conectar con la clase y hacer explicaciones con sentido y con continuidad, buena persona pero falto de dotes comunicativos.
És un dels pitjors casos que he vist en la meva vida. El professor no ha sigut capaç d'explicar absolutament res del temari. Qualsevol pregunta que se li fa no la sap contestar, i no veiem que vulgui millorar. Les seves classes se les passa assegut mirant el seu ordinador. 
Hace falta mas implicacion por parte del profesor, ya que la mayoria de cosas que hemos hecho han sido auto didacta, le falta explicar más.
He evaluado negativamente porque directamente no se ha dispuesto a enseñar como tal, se ha dedicado a subir enlaces y hemos tenido que ser autodidactas. La manera de evaluar es la correcta, pero seria mejor si supiese hacer el examen y no cogiera las respuestas del año pasado.
El profesor no conoce el temario y lo entiendo, pero podria haberse esforzado mas. Un alumno a tirado del carro todo el curso haciendo de profesor, si no fuera por el no se donde estariamos.
El profesor debería prepararse mejor las clases y explicar la teoría sin utilizar tanta ayuda del contenido que hay subido en drive.  A la hora de realizar los ejercicios puedes llegar a tener problemas que por una u otra cosa no sabe solventar. 
Se ve motivación a la hora de enseñar, pero la mayoría de clases se nota mucho la ausencia del profe. Estaría bien que conociera el temario para ser capaz de resolver problemas. Se deben renovar los apuntes
Da la sensación de que algunos apuntes están anticuados, aunque es entendible ya que imagino que es su primer año, aprovecharía la experiencia de este año y aplicarla en los siguientes.
Estaría bien que antes de comenzar un nuevo tema en clase se lo aprendiera lo suficiente como para poder enseñar a sus alumnos y siempre intentar ir un paso por delante de ellos. No es normal que lo que nos intente explicar no lo entienda ni él.
No tenemos profesor literalmente, se limita a poner ejercicios que ni el mismo sabe resolver. Todo ha sido autodidacta.Me he tenido que levantar en exámenes a ayudar a compañeros porque el profesor no sabia resolverles las dudas, tanto para resolver el ejercicio como de contexto.
El principal problema a la hora de afrontar la materia ha sido el profesor. En lo personal dudo que sea una mala persona, en lo profesional, el profesor básicamente no sabe que materia esta impartiendo. Todo lo que hace es utilizar/copiar apuntes de anteriores profesores. "
