GRUP,OBJECTE,ÍTEM 1,ÍTEM 2,ÍTEM 3,ÍTEM 4,NOMBRE RESPOSTES,COMENTARI
AF2,MP04 - Recursos humans i responsabilitat social corporativa,"7,69","7,31","6,56","7,44",16,"Se agredeceria que a la hora de comentar algo personal, que sea a la persona en si y no a toda la clase. 
Se agradece la forma de trabajar en equipo realizando trabajos en lugar de examenes pero puede cargar el ambiente del grupo de proyecto
A pesar de que es una materia muy densa, la profe lo ha sabido llevar muy bien. Aprendes, trabajas y prácticas exposiciones. Una clase muy guay. 
Me parece muy bien hacer los trabajos es mucho mas dinámico, pero deberían ser más adaptables para el proyecto, porque hacer la misma faena dos veces es trabajoso. "
AF2,MP06 - Anglès,"8,50","9,00","7,94","8,50",18,"Carlos: Saber que es un profesor y no un colega a la hora de como decir las cosas, porque muchas contestaciones que he tenido con el ha sido porque no me han gustado las formas de como me ha dicho las cosas, porque yo no soy su amigo, soy su alumno.
Entiendo que es un ciclo superior pero se debe prestar mas atencion a los alumnos que tienen mas dificultad y no tendria que ser una asignatura obligatoria sino obtativa.
Ricardo: Penso que el llibre que fem a classe, estava bé, ja que penso que estant en un cicle superior, has de tenir un nivell d'anglès superior, i aquí s'aprèn el vocabulari empresarial, que et servirá per al treball en cas de treballar en alguna cosa relacionada amb el cicle.
El material que proporciona el libro escogido para trabajar en clase, limita las actividades del profesor, que podría proporcionar más conocimientos
Al contrario que el año pasado con Vicens, este año la clase ha dado una vuelta de 180 grados. Mucho más dinámicas y divertidas. Así da gusto aprender inglés. ¡Muchas gracias Diego!"
AF2,MP08 - Gestió financera,"8,33","8,61","8,44","8,17",18,"En las clases de teoria pura, intentaria buscar alguna alternativa para poder entenderlo mejor, ya que, muchas veces en el dosier no queda nada claro y da pie a muchas confusiones. 
Muy buena profesora atiende siempre que la necesitas.
Las clases deberían servir para aprender de forma tranquila y con unas pautas, de forma que no tengamos que sentirnos menos que otros compañeros.
Ana te queremos, no cambies nunca <3"
AF2,MP09 -  Comptabilitat i fiscalitat (Ana),"7,94","8,39","8,17","8,28",18,"Evaluarse una vez está bien, pero creo que deberian haber mas horas, porque es una asignatura dificil. 
Creo que un único examen en donde te la juegas todo es muy duro y genera mucho estrés. Quizás hubiera sido mejor por lo menos dividir el tema en 2 examenes...
La manera de impartir esta asignatura debería tener otra organización a causa de su complejidad.
Ricardo:Aunque suspenda contigo, entiendo las cosas y luego me sirven para el trabajo. Por lo tanto te felicito en tu faceta como profe.
Dividir la UF en dos exámenes.
Yousra: No cambies nunca, sigue asi. Apruebame la recu. :*
Es un Modulo tenso y largo, pero a pesar de eso te queremos! No cambies NUNCA.
En está asignatura debería haber más exámenes y no jugarte la nota solo en uno. O no darle tanto porcentage al exémen.
Es una asignatura bastante compleja y los examnenes complicados, debería a ver más ejercicios prácticos en clase de manera que facilite el momento de estudio en casa
Aunque sea una asignatura dura de llevar, creo que la haces muy amena e intentas buscar todas las soluciones posibles para que todo el mundo entienda todo. ¡Lo haces muy bien profe!"
AF2,MP09 -  Comptabilitat i fiscalitat (Montse),"8,28","8,50","8,67","8,44",18,"Pienso que si justificas una falta el dia de un examen y no se repita el examen, esta mal hecho. Cuando otros profes lo han hecho y sin estar justificadas las faltas.
Muy profesional y muy cercana al alumno se agradece tener profesoras como ella.
Mejora de la paciencia al momento de explicar a toda la clase y valorar el ritmo a seguir para evitar que las personas con más lentitud se sientan pérdidas"
AF2,MP11 - Simulació empresarial (Marcos),"8,18","8,06","7,82","8,29",17,"Una bestia parda. Fiera mastodonte crack
Ricardo: Muy bien el trabajo realizado por el profe. Enhorabuena Marcos.
Faltan más acompañamiento al alumno y más ayuda para evitar la frustración de los gruppos de projecto, además habría que evitar ciertos comentarios para no provocar competencia entre grupos"
AF2,MP11 - Simulació empresarial (Montse),"8,06","8,59","8,24","8,00",17,"MP11 y MP13 creo que debería ser intensiva, no alargarlo durante todo el curso, si no dedicarle quizas dos meses o uno, todas las horas lectivas, porque erosiona mucho y el desgaste a final de curso se nota y mucho.
Explicaciones claras y observaciones o correcciones de forma escrita para evitar perder la paciencia y desistir "
AF2,Tutoria 2n curs,"7,65","7,47","8,29","7,47",17,"Carlos: Escuchar a ambas partes y no dar por hecho que el profe o alumno con el que has tenido el problema tiene la razón por lo que te ha explicado el anteriormente.
NO TENEMOS TUTORIA. 
Es un buen tutor.
Más excursiones. Solo una me parece lamentable. Y luego decís pa que organizarlar si no vais. Poned algo más interesante coño. He dicho.
Muy atento Juan. "
GA1,MP01 - Comunicació empresarial i atenció al client,"6,86","7,71","6,93","6,71",14,"la teoria escasa para la clase que es
donar el apunts i explicacions al começament de las clases no fer activitats que tingui que parlar del questions personals
Hacer mas trabajos praticos que teoria
emmmmmmmmmm.....Realment no sé molt sobre la classe del professor."
GA1,MP02 - Operacions administratives de compravenda,"5,80","5,07","7,20","6,20",15,"Si fem l'examen a ma, fer també els exercicis a clase a ma o almenys algun 
La millora que podria tenir aquest modul es com s'avalua les faltes d'assistencia, s'ha de polir bastant
que no de las clases sentado, y mas tiempo para hacer los ejercicios, a la hora de corregir va muy de prisa y nosotros tenemos que mirar a la pantalla y al ordenador a la vez
Ser mas dinamica las clases.
espero que el professor pugui aclarir el contingut.
Que no baia tan rapido en las corecciones y en explicar"
GA1,MP03 - Operacions administratives de recursos humans,"8,92","8,62","9,23","9,08",13,"La avaluación creo que le da poca importancia a los examenes
Res"
GA1,MP05 - Tècnica comptable,"7,33","7,60","8,27","8,00",15,"Ir más despacio al explicar. Más explicaciones en clase y más ejercicios y no tan largos
Un poco mas despacio i algunos mas ejercicios para practicar
ejercicio mucho"
GA1,MP07 - Tractament informàtic de la informació (Anna),"6,42","6,25","6,92","6,83",12,
GA1,MP07 - Tractament informàtic de la informació (Xavi),"5,14","5,79","5,36","6,00",14,"La millora que podria tenir aquest modul es el temps a l'hora de fer els examens, perque el temps que hi posan son molt justos per fer un examen de diverses tasques que hi ha
clases de informatica mejores explicadas, lo sube al moodle y explica algo
Que se redacte mejor los apuntes"
GA1,MP09 -  Anglès,"5,54","5,85","6,23","6,23",13,"Hacer más actividades entretenidas que vayan con el tema
Que los examenes sean cada dos temas
Explicar mejor la teoria
res"
GA1,MP10 - Empresa i administració,"9,00","8,50","9,21","9,00",14,Res
GA1,MP12 - Formació i orientació laboral,"6,09","5,82","6,36","6,91",11,"A la hora de explicar tiene que ir más despacio y con otro tipo de tono.
Me gustaria que se explicara mejor y mas despació
Espero que el professor pugui parlar més lentament i després donar més exemples i ejercio.
clases menos aburridas"
GA1,Tutoria 1r curs,"5,33","5,33","4,83",,6,
GA2,MP01 - Comunicació empresarial i atenció al client,"8,23","8,38","8,31","8,46",13,"hacer mas trabajos grupales 
Este modulo me ha gustado y aprendido mucho, y lo que hemos aprendido necesita para trabajar."
GA2,MP04 - Operacions auxiliars de gestió de la tresoreria,"6,54","7,08","6,92","6,92",13,"Lo unico que creo que se debria cambiar o llevarse a mejor, es poder estudiar tesoreria y hacer ejercicios via ordenador
Este asignatura para mi es mas difícil sobre todos asignaturas, pero de verdad es aprendido mucho con el profe , si tengo las dudas pregunto el profe seguro te contesta hasta que entiendes."
GA2,MP06 - Tractament de la documentació comptable,"7,62","7,88","8,00","7,75",8,
GA2,MP07 - Tractament informàtic de la informació (Xavi),"6,31","5,62","6,23","6,54",13,"Me parece que esta asignatura se podria dar de otra manera para que todos los alumnos con mas o menos dificultat, y no ser tan exigente con los alumnos en el tema de los retards y las faltas 
No se aprende, se memoriza. La explicación no es la correcta, pone unas paginas en pdf con la explicación y no nos hace explicaciones, y si las hace no es correctamente y no se entiende. Así no aprendemos, memorizamos y en el futuro no recordaremos ya que solo memorizamos"
GA2,MP08 - Operacions administratives de suport,"6,67","6,67","5,67","5,83",12,
GA2,MP11 - Empresa a l'aula,"8,30","8,60","8,90","8,70",10,
GA2,Tutoria 2n curs,"9,25","8,75","8,25","7,50",4,
